"Dato/klokkeslett","Gjennomsnittsforbruk strøm (kWh/100 km)","Kjørestrekning (km)","Kjøretid","Gjennomsnittshastighet (km/t)"
"2020-05-28T22:16:24+02:00","51,2","4","0:15","16"
"2020-05-28T14:52:38+02:00","34,6","3","0:09","24"
"2020-05-28T08:17:04+02:00","37,6","3","0:10","23"
"2020-05-27T22:25:08+02:00","33,4","15","0:24","37"
"2020-05-26T20:03:13+02:00","25,8","25","0:35","43"
"2020-05-26T15:07:45+02:00","29,3","3","0:07","30"
"2020-05-26T08:14:48+02:00","31,2","3","0:10","23"
"2020-05-25T22:08:53+02:00","28,8","4","0:12","23"
"2020-05-25T14:37:34+02:00","26,0","3","0:10","23"
"2020-05-25T08:15:52+02:00","33,4","3","0:09","23"
"2020-05-24T18:08:54+02:00","16,4","141","2:06","67"
"2020-05-22T18:37:21+02:00","27,0","34","0:43","48"
"2020-05-22T12:07:30+02:00","21,5","3","0:07","31"
"2020-05-20T21:21:31+02:00","25,0","140","1:58","71"
"2020-05-20T15:13:31+02:00","26,0","16","0:24","41"
"2020-05-20T08:13:27+02:00","31,8","3","0:08","26"
"2020-05-19T20:42:10+02:00","28,7","9","0:15","36"
"2020-05-19T17:06:13+02:00","31,2","15","0:21","43"
"2020-05-19T14:01:30+02:00","24,7","14","0:22","39"
"2020-05-19T08:16:01+02:00","40,2","3","0:10","22"
"2020-05-18T21:20:04+02:00","36,0","9","0:18","31"
"2020-05-18T14:39:15+02:00","37,4","3","0:08","28"
"2020-05-18T08:09:58+02:00","35,9","3","0:11","21"
"2020-05-16T20:38:15+02:00","39,6","8","0:16","30"
"2020-05-16T14:54:52+02:00","61,6","3","0:05","33"
"2020-05-15T19:24:34+02:00","36,8","8","0:16","30"
"2020-05-15T14:40:59+02:00","37,9","3","0:09","25"
"2020-05-15T08:13:47+02:00","38,1","3","0:09","25"
"2020-05-14T22:51:58+02:00","38,0","18","0:32","35"
"2020-05-14T14:39:23+02:00","36,1","3","0:08","26"
"2020-05-14T08:12:54+02:00","33,5","3","0:09","24"
"2020-05-13T14:46:10+02:00","36,1","3","0:07","29"
"2020-05-13T08:17:08+02:00","41,6","3","0:09","24"
"2020-05-12T18:57:24+02:00","28,6","15","0:18","50"
"2020-05-12T15:13:57+02:00","37,6","3","0:08","29"
"2020-05-12T08:14:59+02:00","36,1","3","0:09","26"
"2020-05-11T19:00:05+02:00","33,3","15","0:37","25"
"2020-05-11T15:15:24+02:00","43,9","3","0:09","26"
"2020-05-11T08:20:10+02:00","40,5","4","0:11","24"
"2020-05-10T19:37:47+02:00","19,7","141","2:04","68"
"2020-05-10T14:19:46+02:00","61,6","3","0:07","28"
"2020-05-10T12:02:15+02:00","25,8","3","0:08","27"
"2020-05-09T18:25:17+02:00","39,6","10","0:17","36"
"2020-05-08T19:16:08+02:00","28,3","141","1:59","71"
"2020-05-08T15:03:34+02:00","30,5","3","0:08","28"
"2020-05-08T09:43:28+02:00","29,8","15","0:23","40"
"2020-05-07T21:58:10+02:00","28,9","9","0:13","44"
"2020-05-07T18:01:15+02:00","32,2","3","0:08","24"
"2020-05-07T15:10:19+02:00","31,1","3","0:08","27"
"2020-05-07T08:16:40+02:00","34,1","3","0:08","28"
"2020-05-06T20:07:25+02:00","30,7","15","0:17","53"
"2020-05-06T15:19:01+02:00","29,3","3","0:08","28"
"2020-05-06T08:15:26+02:00","28,5","3","0:08","27"
"2020-05-05T19:36:07+02:00","33,1","4","0:12","23"
"2020-05-05T15:13:50+02:00","27,1","16","0:20","48"
"2020-05-05T08:16:53+02:00","33,3","3","0:09","23"
"2020-05-04T15:12:09+02:00","34,0","3","0:08","26"
"2020-05-04T08:23:46+02:00","36,9","3","0:08","26"
"2020-05-03T20:12:23+02:00","20,4","143","2:03","70"
"2020-05-02T17:42:22+02:00","26,6","54","1:16","43"
"2020-05-01T19:45:00+02:00","28,9","31","0:35","53"
"2020-04-30T20:45:30+02:00","27,3","141","2:01","70"
"2020-04-30T15:13:06+02:00","30,6","4","0:09","25"
"2020-04-30T12:31:06+02:00","27,3","12","0:14","55"
"2020-04-30T08:23:18+02:00","31,7","3","0:08","28"
"2020-04-29T19:38:06+02:00","34,9","4","0:09","30"
"2020-04-29T15:18:15+02:00","30,7","3","0:08","27"
"2020-04-29T08:14:10+02:00","33,0","3","0:08","27"
"2020-04-28T14:59:59+02:00","32,3","3","0:07","32"
"2020-04-28T08:25:34+02:00","31,3","3","0:07","29"
"2020-04-27T20:00:58+02:00","31,8","4","0:08","29"
"2020-04-27T13:40:19+02:00","29,1","3","0:08","28"
"2020-04-27T08:35:19+02:00","31,5","3","0:07","29"
"2020-04-26T20:47:59+02:00","47,3","7","0:14","30"
"2020-04-25T20:42:13+02:00","28,3","68","0:56","73"
"2020-04-25T15:09:41+02:00","31,2","12","0:16","43"
"2020-04-24T19:37:46+02:00","34,8","4","0:11","24"
"2020-04-21T22:06:55+02:00","31,3","2","0:06","23"
"2020-04-21T18:36:10+02:00","18,0","160","2:23","67"
"2020-04-21T10:13:29+02:00","26,1","124","1:58","64"
"2020-04-20T12:44:19+02:00","26,7","13","0:19","43"
"2020-04-19T20:30:10+02:00","31,5","24","0:28","51"
"2020-04-16T21:57:19+02:00","35,6","10","0:16","39"
"2020-04-16T12:57:34+02:00","31,7","21","0:20","63"
"2020-04-15T20:26:13+02:00","36,4","13","0:23","35"
"2020-04-13T19:17:50+02:00","48,8","4","0:12","22"
"2020-04-11T18:19:00+02:00","25,8","44","0:53","49"
"2020-04-08T18:56:53+02:00","35,7","9","0:18","31"
"2020-04-07T17:28:19+02:00","62,1","3","0:05","32"
"2020-04-06T22:25:41+02:00","32,8","9","0:14","40"
"2020-04-06T18:08:35+02:00","26,9","13","0:19","40"
"2020-04-05T18:47:15+02:00","26,9","220","3:29","63"
"2020-04-04T19:42:25+02:00","30,7","62","1:06","56"
"2020-04-02T19:23:17+02:00","44,5","4","0:11","25"
"2020-03-31T22:11:52+02:00","28,6","297","3:57","75"
"2020-03-30T22:55:19+02:00","30,6","48","1:24","35"
"2020-03-28T18:01:08+01:00","35,7","4","0:10","27"
"2020-03-28T15:23:39+01:00","34,9","4","0:10","26"
"2020-03-24T22:17:56+01:00","44,5","2","0:06","23"
"2020-03-24T16:00:11+01:00","41,7","3","0:08","23"
"2020-03-23T19:05:22+01:00","43,9","8","0:19","26"
"2020-03-22T17:59:59+01:00","43,7","8","0:17","29"
"2020-03-21T21:01:10+01:00","34,7","4","0:10","27"
"2020-03-21T14:22:33+01:00","42,1","3","0:09","21"
"2020-03-19T13:45:28+01:00","41,1","3","0:09","22"
"2020-03-18T16:10:28+01:00","27,6","10","0:16","39"
"2020-03-18T15:16:25+01:00","28,2","9","0:13","43"
"2020-03-17T10:59:14+01:00","27,0","14","0:18","48"
"2020-03-12T12:31:05+01:00","32,7","5","0:13","26"
"2020-03-12T08:23:09+01:00","36,2","3","0:09","24"
"2020-03-11T18:44:46+01:00","37,2","4","0:12","23"
"2020-03-10T11:45:42+01:00","29,1","2","0:06","21"
"2020-03-09T19:39:29+01:00","37,0","9","0:26","21"
"2020-03-09T12:19:20+01:00","31,2","2","0:05","25"
"2020-03-08T19:08:09+01:00","25,8","68","0:58","70"
"2020-03-08T14:05:49+01:00","27,4","38","0:49","47"
"2020-03-07T20:31:35+01:00","31,2","16","0:24","43"
"2020-03-06T20:08:22+01:00","26,9","43","0:51","51"
"2020-03-06T12:40:04+01:00","30,7","23","0:37","37"
"2020-03-05T17:49:17+01:00","27,3","56","1:00","57"
"2020-03-05T08:10:16+01:00","43,0","3","0:10","21"
"2020-03-04T19:32:18+01:00","33,1","35","1:08","31"
"2020-03-04T08:15:10+01:00","37,8","3","0:09","23"
"2020-03-03T20:25:01+01:00","29,3","39","0:56","42"
"2020-03-03T16:28:53+01:00","40,2","10","0:16","37"
"2020-03-03T08:07:26+01:00","27,3","9","0:13","41"
"2020-03-02T19:58:53+01:00","14,6","2","0:07","21"
"2020-03-02T16:58:46+01:00","46,0","12","0:24","31"
"2020-03-02T08:08:49+01:00","25,2","9","0:13","40"
"2020-03-01T19:47:34+01:00","21,1","172","2:43","64"
"2020-03-01T11:42:14+01:00","32,0","32","0:40","48"
"2020-02-29T20:04:32+01:00","31,9","31","0:34","54"
"2020-02-28T17:31:43+01:00","28,7","151","2:24","63"
"2020-02-28T08:17:05+01:00","29,1","9","0:14","40"
"2020-02-27T19:45:57+01:00","36,5","27","0:38","43"
"2020-02-27T08:11:38+01:00","30,0","9","0:14","39"
"2020-02-26T20:32:24+01:00","27,7","16","0:17","55"
"2020-02-26T18:02:17+01:00","36,1","24","0:32","45"
"2020-02-26T08:17:14+01:00","31,6","9","0:13","41"
"2020-02-25T20:10:39+01:00","33,7","13","0:18","43"
"2020-02-25T17:01:47+01:00","43,3","12","0:25","29"
"2020-02-25T08:16:11+01:00","28,8","9","0:15","37"
"2020-02-24T19:52:53+01:00","51,8","14","0:41","21"
"2020-02-24T08:10:33+01:00","27,8","9","0:17","32"
"2020-02-23T19:38:25+01:00","20,3","144","2:47","52"
"2020-02-23T12:33:57+01:00","53,3","6","0:14","28"
"2020-02-21T19:13:21+01:00","31,2","54","1:26","38"
"2020-02-21T10:00:14+01:00","30,9","13","0:19","42"
"2020-02-20T18:25:00+01:00","23,5","287","4:22","66"
"2020-02-19T21:04:52+01:00","29,7","141","2:01","70"
"2020-02-19T16:10:05+01:00","38,3","12","0:21","34"
"2020-02-19T08:31:47+01:00","28,4","9","0:13","42"
"2020-02-18T19:22:42+01:00","29,5","31","0:30","61"
"2020-02-18T16:32:20+01:00","41,6","11","0:18","38"
"2020-02-18T08:25:41+01:00","26,1","9","0:15","37"
"2020-02-17T20:57:19+01:00","31,6","34","0:49","42"
"2020-02-17T16:03:03+01:00","35,6","9","0:15","39"
"2020-02-17T12:50:35+01:00","26,3","6","0:16","22"
"2020-02-17T08:36:18+01:00","24,3","9","0:12","44"
"2020-02-16T20:18:47+01:00","19,0","141","2:04","68"
"2020-02-15T11:49:23+01:00","29,1","32","0:40","48"
"2020-02-14T21:12:23+01:00","29,3","141","2:02","70"
"2020-02-14T16:29:44+01:00","36,0","15","0:30","31"
"2020-02-14T08:12:27+01:00","27,1","9","0:15","37"
"2020-02-13T20:51:57+01:00","27,9","8","0:08","54"
"2020-02-13T18:29:39+01:00","37,9","15","0:21","43"
"2020-02-13T08:11:24+01:00","25,2","9","0:14","39"
"2020-02-12T21:39:40+01:00","25,1","14","0:23","38"
"2020-02-12T16:55:01+01:00","39,1","21","0:31","41"
"2020-02-12T08:24:04+01:00","26,3","9","0:14","38"
"2020-02-11T17:05:26+01:00","37,5","12","0:20","36"
"2020-02-11T08:16:46+01:00","26,1","9","0:15","37"
"2020-02-10T19:48:50+01:00","42,2","14","0:31","27"
"2020-02-10T08:18:39+01:00","27,7","9","0:16","34"
"2020-02-09T22:06:50+01:00","51,3","6","0:14","25"
"2020-02-08T14:11:40+01:00","35,3","17","0:33","30"
"2020-02-07T20:17:31+01:00","36,7","11","0:17","41"
"2020-02-06T17:06:54+01:00","42,6","14","0:31","28"
"2020-02-06T08:21:03+01:00","33,1","9","0:16","33"
"2020-02-05T18:25:34+01:00","38,1","31","0:53","36"
"2020-02-05T08:17:49+01:00","34,6","9","0:16","34"
"2020-02-04T20:56:00+01:00","8,6","2","0:05","24"
"2020-02-04T16:59:39+01:00","51,3","12","0:22","33"
"2020-02-04T07:53:46+01:00","28,5","9","0:14","38"
"2020-02-03T19:52:57+01:00","18,2","2","0:07","21"
"2020-02-03T17:12:02+01:00","39,2","25","0:36","41"
"2020-02-03T08:04:20+01:00","27,1","9","0:15","35"
"2020-02-02T20:04:09+01:00","49,4","9","0:22","25"
"2020-02-01T14:43:25+01:00","30,1","27","0:42","39"
"2020-01-31T19:18:14+01:00","31,1","31","0:47","40"
"2020-01-31T08:13:00+01:00","24,7","9","0:14","39"
"2020-01-30T16:59:29+01:00","36,2","11","0:19","35"
"2020-01-30T08:00:57+01:00","25,2","9","0:14","38"
"2020-01-29T19:57:21+01:00","33,9","37","1:24","27"
"2020-01-29T08:03:00+01:00","22,6","9","0:14","40"
"2020-01-28T22:13:08+01:00","27,8","285","3:51","74"
"2020-01-28T16:36:29+01:00","37,1","9","0:16","35"
"2020-01-28T08:03:38+01:00","25,1","9","0:16","35"
"2020-01-27T19:34:36+01:00","39,9","14","0:29","29"
"2020-01-27T08:12:48+01:00","25,1","9","0:14","39"
"2020-01-26T18:33:41+01:00","20,4","141","2:04","68"
"2020-01-25T17:20:41+01:00","32,7","31","0:37","50"
"2020-01-23T20:59:18+01:00","31,6","141","2:00","70"
"2020-01-23T16:09:30+01:00","43,9","10","0:25","24"
"2020-01-23T07:47:43+01:00","24,6","9","0:14","40"
"2020-01-22T15:33:23+01:00","42,1","6","0:09","41"
"2020-01-22T08:17:11+01:00","31,1","9","0:15","35"
"2020-01-21T16:47:47+01:00","40,3","11","0:24","29"
"2020-01-21T08:11:57+01:00","29,4","9","0:15","37"
"2020-01-20T16:59:19+01:00","37,3","12","0:24","31"
"2020-01-20T08:06:47+01:00","26,6","9","0:16","34"
"2020-01-19T16:39:16+01:00","25,8","153","2:27","62"
"2020-01-18T19:37:24+01:00","27,6","31","0:38","49"
"2020-01-18T12:03:42+01:00","27,9","31","0:41","46"
"2020-01-17T21:03:03+01:00","29,8","141","1:57","72"
"2020-01-17T16:18:29+01:00","34,3","9","0:16","35"
